30.01.2024 10:39 
Файл lab.log відкрито 
Оновлений час: 30.01.2024 10:39 

Image Name                     PID Session Name        Session#    Mem Usage
opera.exe                    20956 Console                    1    162 008 K
opera.exe                    29576 Console                    1     45 724 K
opera.exe                    29748 Console                    1     23 340 K
opera.exe                    29852 Console                    1    133 084 K
opera.exe                    29860 Console                    1    160 792 K
opera.exe                    30024 Console                    1    159 324 K
opera.exe                    30032 Console                    1    189 592 K
opera.exe                    30176 Console                    1    137 816 K
opera.exe                    30184 Console                    1     22 540 K
opera.exe                    30284 Console                    1    198 996 K
opera.exe                    30376 Console                    1     53 124 K
opera.exe                    30428 Console                    1    128 888 K
opera.exe                    30772 Console                    1    145 692 K
opera.exe                    30824 Console                    1    138 984 K
opera.exe                    30840 Console                    1    136 944 K
opera.exe                    30848 Console                    1    134 536 K
opera.exe                    30864 Console                    1    135 264 K
opera.exe                    30972 Console                    1    148 460 K
opera.exe                    31068 Console                    1    130 888 K
opera.exe                    31380 Console                    1    193 312 K
opera.exe                    31252 Console                    1    250 876 K
opera.exe                    31272 Console                    1    244 864 K
opera.exe                    25076 Console                    1     32 744 K
Lenovo.Modern.ImControlle    19516 Console                    1     74 568 K
WINWORD.EXE                   3436 Console                    1     96 164 K
splwow64.exe                 23340 Console                    1     21 016 K
backgroundTaskHost.exe       28224 Console                    1     17 384 K
RuntimeBroker.exe            27656 Console                    1      9 056 K
svchost.exe                  30344 Services                   0      7 664 K
smartscreen.exe              22308 Console                    1     10 788 K
svchost.exe                  27584 Services                   0     10 112 K
powershell.exe               24384 Console                    1     73 452 K
conhost.exe                  22940 Console                    1      8 160 K
OpenConsole.exe              19408 Console                    1     12 116 K
WindowsTerminal.exe           9472 Console                    1     97 076 K
RuntimeBroker.exe            25932 Console                    1     10 928 K
Taskmgr.exe                  24752 Console                    1    135 356 K
WmiPrvSE.exe                 27280 Services                   0      9 224 K
TrustedInstaller.exe         19024 Services                   0      8 324 K
TiWorker.exe                 26344 Services                   0     13 612 K
backgroundTaskHost.exe       30764 Console                    1     10 752 K
audiodg.exe                  22012 Services                   0     10 232 K
Photoshop.exe                22284 Console                    1  1 080 576 K
